company_name,high,low,last_price,prev_close,change,percent_gain
Suzlon Energy,55.66,53.91,55.00,53.00,2.00,3.77
Aurobindo Pharm,"1,122.80","1,099.00","1,122.00","1,082.45",39.55,3.65
Sobha,"1,180.00","1,134.00","1,167.70","1,127.15",40.55,3.6
NCC,218.55,212.08,217.50,209.97,7.53,3.59
HDFC Bank,"1,876.80","1,855.00","1,871.50","1,806.75",64.75,3.58
Railtel,304.40,296.05,302.75,292.30,10.45,3.58
SignatureGlobal,"1,134.00","1,091.00","1,127.30","1,088.40",38.90,3.57
EID Parry,809.00,787.20,808.50,780.85,27.65,3.54
Himadri Special,457.40,438.60,452.20,436.80,15.40,3.53
Godfrey Phillip,"7,383.50","7,077.50","7,284.50","7,037.10",247.40,3.52
Chola Invest.,"1,534.90","1,487.90","1,527.20","1,475.70",51.50,3.49
Vodafone Idea,7.43,7.22,7.42,7.17,0.25,3.49
KPIT Tech,"1,165.90","1,130.00","1,158.00","1,118.95",39.05,3.49
Trent,"4,985.00","4,830.50","4,947.50","4,780.55",166.95,3.49
Cera Sanitary,"5,589.00","5,430.00","5,580.50","5,393.50",187.00,3.47
BEML,"3,147.90","3,055.00","3,139.00","3,034.75",104.25,3.44
Hind Copper,206.97,203.65,206.50,199.65,6.85,3.43
TVS Motor,"2,599.10","2,545.80","2,599.10","2,513.30",85.80,3.41
Interglobe Avi,"5,347.00","5,201.00","5,325.00","5,151.10",173.90,3.38
Balaji Amines,"1,280.60","1,204.80","1,246.00","1,205.35",40.65,3.37
Cummins,"2,921.90","2,851.00","2,909.50","2,814.95",94.55,3.36
Elecon Eng,455.60,442.65,450.70,436.05,14.65,3.36
Elecon Eng,455.60,442.65,450.70,436.05,14.65,3.36
Go Digit,291.70,282.35,290.50,281.05,9.45,3.36
REC,416.85,407.45,415.75,402.25,13.50,3.36
GE Vernova TD,"1,388.00","1,345.60","1,378.10","1,333.45",44.65,3.35
Mahanagar Gas,"1,321.50","1,281.00","1,320.30","1,277.50",42.80,3.35
TataTeleservice,58.77,57.10,58.51,56.63,1.88,3.32
Fert and Chem,647.05,630.10,645.35,624.65,20.70,3.31
Minda Corp,517.70,496.95,510.85,494.50,16.35,3.31
Chola Fin Hold,"1,867.40","1,791.00","1,839.30","1,780.40",58.90,3.31
Narayana Hruda,"1,784.40","1,708.00","1,756.00","1,699.95",56.05,3.3
Info Edge,"6,812.50","6,620.50","6,760.50","6,545.30",215.20,3.29
HBL Eng,523.15,510.95,517.45,500.95,16.50,3.29
Bharat Dynamics,"1,387.20","1,335.00","1,368.50","1,325.10",43.40,3.28
Bharat Dynamics,"1,387.20","1,335.00","1,368.50","1,325.10",43.40,3.28
Petronet LNG,294.90,287.55,294.25,284.90,9.35,3.28
Vedanta,394.20,384.05,392.60,380.15,12.45,3.28
Biocon,327.35,319.70,326.90,316.55,10.35,3.27
SAIL,111.95,109.66,111.86,108.34,3.52,3.25
SJVN,94.41,92.34,94.39,91.43,2.96,3.24
Triveni Turbine,513.20,493.50,511.80,495.80,16.00,3.23
Shree Renuka,27.93,27.34,27.85,26.98,0.87,3.22
Godrej Prop,"2,020.00","1,975.70","2,010.60","1,948.40",62.20,3.19
Jubilant Ing.,664.70,649.40,654.45,634.30,20.15,3.18
Adani Enterpris,"2,394.80","2,359.00","2,394.80","2,321.40",73.40,3.16
Nuvama Wealth,"5,719.50","5,640.50","5,688.00","5,514.20",173.80,3.15
Adani Green Ene,924.60,901.30,921.50,893.65,27.85,3.12
IIFL Finance,334.80,325.40,333.80,323.75,10.05,3.1
Oberoi Realty,"1,596.60","1,565.70","1,595.10","1,547.35",47.75,3.09
Engineers India,164.84,161.60,164.80,159.93,4.87,3.05
Tata Tech,655.50,637.00,651.30,632.05,19.25,3.05
Varroc Engineer,421.15,412.05,419.50,407.10,12.40,3.05
RITES,232.99,224.70,229.96,223.23,6.73,3.01
Welspun Corp,784.50,748.00,781.20,758.50,22.70,2.99
BHEL,220.17,214.15,219.30,212.97,6.33,2.97
Praj Industries,519.80,508.00,516.00,501.10,14.90,2.97
Aditya Birla Re,"1,844.30","1,791.10","1,839.30","1,786.40",52.90,2.96
Nippon,568.90,556.90,567.35,551.10,16.25,2.95
Zee Entertain,107.70,104.49,106.90,103.85,3.05,2.94
Dr Reddys Labs,"1,151.40","1,129.00","1,142.00","1,109.50",32.50,2.93
Dr Reddys Labs,"1,151.40","1,129.00","1,142.00","1,109.50",32.50,2.93
Aditya Birla F,261.50,255.80,261.40,254.00,7.40,2.91
Torrent Power,"1,610.00","1,570.80","1,607.60","1,562.15",45.45,2.91
