company_name,high,low,last_price,prev_close,change,percent_gain
Emcure Pharmace,944.90,916.20,930.10,919.45,10.65,1.16
Trident,26.80,26.27,26.38,26.08,0.30,1.15
ITI,258.00,252.00,254.90,252.07,2.83,1.12
Raymond,"1,519.00","1,500.30","1,509.80","1,493.15",16.65,1.12
Titan Company,"3,275.00","3,245.10","3,271.00","3,234.90",36.10,1.12
Tata Inv Corp,"6,267.00","6,200.00","6,240.00","6,171.50",68.50,1.11
LTIMindtree,"4,328.00","4,240.80","4,287.10","4,240.80",46.30,1.09
India Cements,285.50,281.50,283.65,280.65,3.00,1.07
SKF India,"3,954.90","3,895.00","3,903.00","3,861.95",41.05,1.06
Infosys,"1,447.70","1,418.30","1,424.20","1,409.45",14.75,1.05
Bajaj Finserv,"1,984.00","1,963.40","1,966.50","1,946.30",20.20,1.04
Bajaj Finserv,"1,984.00","1,963.40","1,966.50","1,946.30",20.20,1.04
Alembic Pharma,858.45,841.65,855.15,846.40,8.75,1.03
Tech Mahindra,"1,314.20","1,290.90","1,295.50","1,282.25",13.25,1.03
Astral Ltd,"1,266.50","1,245.60","1,261.50","1,248.90",12.60,1.01
Kirloskar Oil,736.05,720.50,733.50,726.15,7.35,1.01
Blue Dart,"6,478.50","6,346.50","6,375.50","6,312.10",63.40,1
Honeywell Autom,"34,500.00","34,045.00","34,350.00","34,014.65",335.35,0.99
Bank of Mah,46.54,46.00,46.10,45.66,0.44,0.96
Zydus Life,889.80,873.50,877.15,868.85,8.30,0.96
Indian Bank,545.50,537.50,540.95,535.80,5.15,0.96
CCL Products,608.40,602.05,604.65,599.10,5.55,0.93
Apollo Tyres,433.35,428.60,431.70,427.75,3.95,0.92
Birla Corp,"1,121.80","1,102.60","1,120.10","1,109.95",10.15,0.91
NBCC (India),90.56,89.30,89.91,89.10,0.81,0.91
Jyothy Labs,371.30,366.25,370.10,366.80,3.30,0.9
Muthoot Finance,"2,060.00","2,005.50","2,035.20","2,017.00",18.20,0.9
Container Corp,692.80,680.30,690.80,684.80,6.00,0.88
Chennai Petro,626.00,618.05,621.65,616.20,5.45,0.88
Equitas Bank,58.40,57.80,58.15,57.65,0.50,0.87
ACC,"2,026.70","2,008.80","2,024.30","2,007.35",16.95,0.84
MRPL,132.49,131.25,131.91,130.81,1.10,0.84
PNB Housing Fin,999.00,978.10,987.55,979.40,8.15,0.83
IOC,133.40,132.50,132.90,131.83,1.07,0.81
Aster DM Health,509.10,497.35,504.30,500.30,4.00,0.8
Gujarat Fluoro,"3,945.20","3,887.00","3,894.50","3,865.30",29.20,0.76
United Spirits,"1,550.80","1,480.60","1,488.10","1,476.90",11.20,0.76
Ambuja Cements,555.00,550.25,552.70,548.65,4.05,0.74
BASF,"4,587.00","4,470.00","4,518.50","4,486.05",32.45,0.72
JB Chemicals,"1,604.60","1,576.40","1,582.90","1,571.60",11.30,0.72
JB Chemicals,"1,604.60","1,576.40","1,582.90","1,571.60",11.30,0.72
Pfizer,"4,134.90","4,050.00","4,109.70","4,080.25",29.45,0.72
TCS,"3,314.40","3,248.50","3,254.70","3,231.50",23.20,0.72
AU Small Financ,565.00,553.25,561.05,557.10,3.95,0.71
Gujarat Pipavav,140.83,138.58,139.75,138.76,0.99,0.71
SRF,"3,005.00","2,945.00","2,968.10","2,947.35",20.75,0.7
Latent View,384.90,379.90,382.45,379.90,2.55,0.67
Colgate,"2,540.00","2,500.00","2,508.20","2,491.65",16.55,0.66
RamkrishnaForge,751.00,736.30,742.45,737.55,4.90,0.66
Godrej Ind,"1,172.60","1,138.00","1,144.10","1,136.70",7.40,0.65
ZFCVINDIA,"12,610.00","12,417.00","12,530.00","12,449.20",80.80,0.65
Voltas,"1,310.30","1,288.30","1,293.10","1,284.90",8.20,0.64
Alkem Lab,"4,919.60","4,866.80","4,918.30","4,887.45",30.85,0.63
Chambal Fert,653.85,641.25,649.25,645.25,4.00,0.62
PNB,98.40,96.45,96.68,96.08,0.60,0.62
C. E. Info Syst,"1,737.00","1,712.90","1,733.80","1,723.25",10.55,0.61
Shree Cements,"31,000.00","30,155.00","30,290.00","30,107.95",182.05,0.6
JK Lakshmi Cem,800.00,789.05,793.50,788.95,4.55,0.58
Bikaji Foods,718.90,705.50,713.50,709.45,4.05,0.57
Tanla Platforms,499.35,485.05,486.60,483.90,2.70,0.56
Dabur India,468.25,462.60,463.85,461.30,2.55,0.55
Pidilite Ind,"2,990.00","2,956.20","2,968.70","2,952.60",16.10,0.55
Marico,720.00,710.15,713.80,709.95,3.85,0.54
Cipla,"1,485.90","1,467.90","1,470.80","1,463.05",7.75,0.53
Saregama India,530.85,515.75,526.85,524.05,2.80,0.53
SBFC Finance,90.83,89.70,90.12,89.67,0.45,0.5
Atul,"5,786.00","5,631.00","5,754.00","5,727.35",26.65,0.47
Motherson SWI,54.39,52.92,53.17,52.92,0.25,0.47
ONGC,234.00,230.10,231.45,230.37,1.08,0.47
Campus Active,241.68,238.88,239.36,238.31,1.05,0.44
Route,991.45,969.60,979.65,975.40,4.25,0.44
Easy Trip,13.23,13.10,13.13,13.08,0.05,0.38
Easy Trip,13.23,13.10,13.13,13.08,0.05,0.38
IDBI Bank,80.25,79.55,79.78,79.49,0.29,0.36
Aadhar Housing ,472.40,463.60,465.00,463.40,1.60,0.35
AIA Engineering,"3,250.00","3,171.00","3,179.20","3,168.75",10.45,0.33
Varun Beverages,556.00,544.05,547.50,545.75,1.75,0.32
Varun Beverages,556.00,544.05,547.50,545.75,1.75,0.32
Varun Beverages,556.00,544.05,547.50,545.75,1.75,0.32
Godrej Consumer,"1,239.00","1,224.00","1,227.40","1,223.60",3.80,0.31
Gujarat Gas,436.00,427.00,429.50,428.30,1.20,0.28
Glenmark,"1,395.70","1,371.80","1,381.70","1,378.10",3.60,0.26
Patanjali Foods,"1,913.60","1,881.90","1,890.80","1,886.35",4.45,0.24
Federal Bank,193.00,189.50,190.80,190.44,0.36,0.19
Kotak Mahindra,"2,147.00","2,102.80","2,115.10","2,111.20",3.90,0.18
Asian Paints,"2,420.00","2,385.00","2,397.20","2,393.60",3.60,0.15
Britannia,"5,432.00","5,330.00","5,358.30","5,350.20",8.10,0.15
Bank of Baroda,236.09,232.11,232.85,232.50,0.35,0.15
Ujjivan Small,40.35,39.57,39.83,39.77,0.06,0.15
Apar Ind,"5,092.50","5,020.00","5,035.00","5,028.40",6.60,0.13
Dr Lal PathLab,"2,730.00","2,681.40","2,705.10","2,701.80",3.30,0.12
Eris Life,"1,444.00","1,385.00","1,386.30","1,384.80",1.50,0.11
TATA Cons. Prod,"1,111.00","1,097.70","1,099.10","1,097.90",1.20,0.11
Avenue Supermar,"4,207.30","4,132.00","4,135.60","4,131.50",4.10,0.1
Whirlpool,"1,125.00","1,100.55","1,107.45","1,106.55",0.90,0.08
Westlife Food,720.65,704.30,708.85,708.45,0.40,0.06
United Brewerie,"2,039.60","1,987.70","2,020.60","2,019.50",1.10,0.05
